title,price,author,description,Publisher,Pages,Edition,Genre,Language,Binding,Return Policy,Payment Policy,Rating
"['Pw Jee Mains (22 Years) and Advance Pyq (46 Years) Physics, Chemistry, Mathematics Combo\xa0\xa0(English, Paperback, unknown)']","['₹2,117']",['unknown'],[''],['Publisher: Physics Wallah Private Limited'],[None],"['Edition: 2024, 2024']",['Genre: Technology & Engineering'],['Language: English'],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.3']
"['Das Pramukh Upnishad + MAHAKUMBHA: Sanatan Sanskriti Ki Ajasra Chetna | Religious & Eternal Consciousness Of Eternal Culture Books | Ten Upnishad (Set Of 2 Books In Hindi)\xa0\xa0(Paperback, Hindi, Purohit Swami, W.B. Yeats, Sanjay Chaturvedi)']",['₹360'],[''],['9789355622761 + 9789355626103'],['Publisher: Prabhat Prakashan Pvt. Ltd.'],['336 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['']
"['SSC GD BOOKS COMBO Maths, Samanya Hindi, Reasoning & Samanya Adhyan 2022\xa0\xa0(Paperback, Hindi, Ankit Bhati Sir)']",['₹409'],['Ankit Bhati Sir'],[''],['Publisher: Rojgar Publication'],['830 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
"['Basic Mathematics Guide Book for Jnv, Sainik School (Aissee), Rms, Class 5-8 and Other Entrance & Competitive Exams\xa0\xa0(English, Paperback, unknown)']",['₹286'],['unknown'],"['Radian’s Basic Mathematics Guide Book for JNV, Sainik School (AISSEE), RMS, Class 5-8, and other Competitive Exams in English 2024. Study Material Based on New Syllabus. This is Basic maths chapterwise topic-wise complete study guidebook with shortcut tricks and detailed solutions. The book contains adequate study and practice material with detailed explanatory answers. The book is highly recommended for the aspirants to prepare for Sainik school entrance exam (AISSEE), Jawahar Navodaya Vidyalaya(JNV), Rashtriya Military School (RMS), Netarhat Residential School, Simultala Residential School, Central Hindu School, VidyaGyan School, Eklavya Adarsh Awasiya Vidyalaya, and other entrance and all government exams, etc.']",['Publisher: Radian Book Company'],['Pages: 544'],"['Edition: 1, 2023']",['Genre: Juvenile Nonfiction'],['Language: English'],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.3']
"['संपूर्ण चाणक्य नीति, चाणक्य सूत्र और जीवन गाथा (दो रंगों में) Sampoorn Chanakya Neeti, Chanakya Sutra Aur Jeevan Gaatha (Do Rangon Mein) (Hindi Edition) | Adhyatm Evam Neetishaastra\xa0\xa0(Paperback, Hindi, Manoj Publication)']",['₹289'],['Manoj Publication'],"[""If a biography is read before describing the policy of a miraculous personality like Chanakya, it will become easier to understand his policy. That's why Chanakya's biography is given earlier in this book. It is not a scripture, but a summary of the experiences of the entire worldly life. It is as relevant today, as it was 2000 years ago. Chanakya's policy which makes life easier also provides proper answers to all the questions of life.""]",['Publisher: Manoj publications'],['384 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.5']
"['Shrimad Bhagwat Gita Yatharoop\xa0\xa0(Hardcover, Hindi, A.C BHAKTIVEDANT SWAMI SHRILA PRABHUPAD)']",['₹125'],['A.C BHAKTIVEDANT SWAMI SHRILA PRABHUPAD'],[''],['Publisher: BHAKTIVEDANT BOOK TRUST'],['644 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.7']
"['Class Notes Grammar By Aman Sir | Useful For SSC, Bank, CDS, NDA And All Competitive Exams\xa0\xa0(Paperback, Aman Sir)']",['₹299'],['Aman Sir'],"['This book contains Grammar class notes of Aman Sir who has been teaching English for competitive exams for the last 10 years. These notes contain all the concepts taught in the classes with detailed explanations. These notes are beneficial for all the students who are preparing for competitive exams like SSC,BANK,CDS,NDA,DSSSB etc. Explanation provided in these notes is in Hinglish language so that students from all states of India can understand them easily.']",['Publisher: Aman Sir English Classes'],['350 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.7']
"['The Complete Vocabulary Volume 1 | Jaideep Sir Vocabulary Book | Best Vocabulary Book | For All Government Job Exams | Latest Edition\xa0\xa0(Paperback, JAIDEEP SINGH)']",['₹370'],['JAIDEEP SINGH'],[''],['Publisher: Rakesh Yadav Readers Publication Pvt. Ltd.'],['348 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.6']
"['Aditya Ranjan Sir Railway Samanya Vigyan| Hindi Medium | 5000+ Chapter-Wise One-Liners & MCQs | ALP, Technician, NTPC, RPF SI, RPF Constable, Group D, RRB JE And Other Railway Exams\xa0\xa0(Paperback, Hindi, RANJAN AADITYA)']",['₹135'],['RANJAN AADITYA'],[''],['Publisher: aditya ranjan'],['176 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
"['General Practice Guide 3rd Edition\xa0\xa0(Perfect Paper Back, Hindi, Dr Amritesh Kumar)']",['₹309'],['Dr Amritesh Kumar'],[''],['Publisher: Hindu Chikitsa Awm Takniki Mhavidyalay'],['328 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.2']
"['The Viral Maths Brahmastra For Maths Calculation For Competitive Exams RBI,SBI,IBPS,SSC,Railway\xa0\xa0(Paperback, Navneet Tiwari Sir)']",['₹175'],['Navneet Tiwari Sir'],[''],['Publisher: Adda247 Publications'],['319 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.5']
"['Ssc-Gd Hindi 2025 By Ankit Bhati Sir (Hindi Medium)\xa0\xa0(Paperback, Hindi, ANKIT BHATI SIR)']",['₹148'],['ANKIT BHATI SIR'],['SSC-GD HINDI 2025 BY ANKIT BHATI SIR (HINDI MEDIUM)'],['Publisher: Rojgar Publication'],['250 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.3']
"['Parmar SSC Class Notes For Polity, Static GK, History, Geography, General Science, Economics Combo Set (English Medium)\xa0\xa0(Paperback, Parmar Sir)']",['₹799'],['Parmar Sir'],[''],['Publisher: Book Shilp India'],['1036 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.5']
"['Environment by Shankar IAS Academy\xa0\xa0(Paperback, Shankar IAS Academy)']",['₹300'],['Shankar IAS Academy'],[''],['Publisher: ENVIRONMENT By Shankar'],[None],[None],[None],[None],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['3.7']
"['Complete Bank Exam Preparation For SBI / IBPS / RRB / SEBI / RBI Bank Clerk / Po Prelims & Mains & All Banking Exams Set Of 8 Books\xa0\xa0(Paperback, Adda247 Publications)']","['₹1,799']",['Adda247 Publications'],[''],['Publisher: Adda247 Publications'],['3290 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
"['ANKIT BHATI G.S. Nidhi\xa0\xa0(Paperback, Hindi, ANKIT BHATI)']",['₹139'],['ANKIT BHATI'],[''],['Publisher: ROJGAR PUBLICATION'],['384 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.5']
"['Bpsc Tre Inm Bilangual (Bihar Class 1 To 12 Sabhi K Liye )\xa0\xa0(Paperback, Hindi, sachin sir)']",['₹295'],['sachin sir'],[''],['Publisher: invinsible'],['359 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
"['Rone Se Kuchh Hota Hai Kya\xa0\xa0(Paperback, Others, Sandeep Dwivedi)']",['₹325'],['Sandeep Dwivedi'],[''],['Publisher: Bodhras Prakashan'],['184 Pages'],[None],[None],['Language: Others'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.8']
"['Ankit Bhati SSC GD 4 BOOK COMBO MATH REASONING HINDI GK 2025\xa0\xa0(Paperback, Hindi, Ankit Bhati Sir)']",['₹549'],['Ankit Bhati Sir'],[''],['Publisher: ROJGAR PUBLICATION'],['948 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.5']
"['1000+ MCQs On Indian Economy For UPSC 2025 Civil Services Exam, State PCS Exams\xa0\xa0(Paperback, StudyIQ Publications)']",['₹386'],['StudyIQ Publications'],"['StudyIQ launched the 1000+ MCQs on Indian Economy for UPSC , State PSC and Other Competitive Exams 2023 Benefits of the book which distinguish it from others .Detailed Error-free Explanations. Coverage of entire syllabus of Indian Economy. Crisp and Clear Language. Practice & Revision-friendly Book. Practice Questions for Assessment. Complete coverage of NCERT Textbook Latest Edition . Useful for UPSC, State PSCs and other central & state govt. competitive exams']",['Publisher: StudyIQ Publications'],['345 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.7']
"['Technical Analysis Aur Candlesticks Ki Pechan : Trading Chart Patterns & Candlestick Patterns Hindi Book By Ravi Patel\xa0\xa0(Paperback, Hindi, Ravi Patel)']",['₹225'],['Ravi Patel'],['Stock Market Basics\nIntroduction to Stock Market Analysis\nBasics of Technical Analysis\nIntroduction to Candlestick\nIntroduction to Chart Patterns\nIntroduction to Technical Indicators\nTechnical Analysis Steps\nStop Loss Theory\nStock Selection Strategies\nCase Studies of Technical Analysis\nSource of Information\n\nTechnical Analysis Aur Candlestick Ki Pehchan is ideal book forTechnical Analysis of Financial Market in Hindi language\n\nNo need to join any Technical Analysis Course or Seminar after reading this book.'],['Publisher: Buzzingstock Publishing House'],['224 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4']
"['The 48 Laws Of Power Hindi(Paperback)\xa0\xa0(Paperback, Hindi, Robert Greene)']",['₹178'],['Robert Greene'],[''],['Publisher: Manjul Publications'],['258 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.2']
"['POLITY POWER PACK MCQ 2nd Edition Hindi By Karan Sir | Bharatiya Rajvyavastha 3500+ MCQs | Chapterwise-Topicwise | UPSC | UPPSC | BPSC | MPPSC | RAS & RTS | UKPSC | CGPSC | HPSC | NDA | CDS | CAPF | UGC-NET Based On PYQ + Mains 10 Year PYQ\xa0\xa0(Paperback, Hindi, karan chaudhary)']",['₹319'],['karan chaudhary'],"['Polity Power pack is a comprehensive resource for mastering Indian Polity, Constitution, and Governance. With 3500+ MCQs, chapter-wise explanations, 10+ years of Mains PYQs, and the latest updates, it’s tailored for UPSC, BPSC, and State PCS aspirants. Available in Hindi and English, the Polity Power Pack simplifies complex topics, helping you excel in your exams with confidence.']",['Publisher: karan chaudhary'],['496 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.7']
"['Pw Jee Mains (22 Years) and Advance Pyq (46 Years) Physics, Chemistry, Mathematics Combo\xa0\xa0(English, Paperback, unknown)']","['₹2,117']",['unknown'],[''],['Publisher: Physics Wallah Private Limited'],[None],"['Edition: 2024, 2024']",['Genre: Technology & Engineering'],['Language: English'],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.3']
"['Pw Pw Neet 12 Years Pyq Chapterwise and Topicwise Hindi\xa0\xa0(Hindi, Paperback, Kumar Gaurav)']",['₹359'],['Kumar Gaurav'],[''],['Publisher: Physics Wallah Private Limited'],[None],"['Edition: 2024, 2024']",['Genre: Medical'],['Language: Hindi'],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
"['ACE QUANT A Complete Guide On Quantitative Aptitude For Banking & Insurance Examinations\xa0\xa0(Paperback, Adda247 Publications)']",['₹299'],['Adda247 Publications'],[''],['Publisher: Adda247 Publications'],['460 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
"['RRB Vande Bharat 2024-25 NTPC, ALP, RPF & Group D |Previous Year Question Papers Stage - I & II (2016 -Present) | 5000+ MCQs\xa0\xa0(Paperback, Bengali, Adda247 Publications)']",['₹349'],['Adda247 Publications'],[''],['Publisher: Adda247 Publications'],['596 Pages'],[None],[None],['Language: Bengali'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.2']
"['My First Picture Library Box Of 10 (Pre-School Books) | Gift Set For Kids\xa0\xa0(Board book, Sawan)']",['₹399'],['Sawan'],"[""Sawan introduces an exciting My First Picure Library Box of 10 Board Books for kids. With a selection of books from Sawan Reading Series, this box set is brilliant for both children who are reading more confidently and for fully confident young readers who are building the stamina for standard length books. From The Wind in the Willows to Oliver Twist, it's a perfect way of introducing youngsters to much-loved classic stories!""]",['Publisher: Manoj Publications'],['240 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.5']
"['Driver Special, Delhi Police Driver, ITBP Driver, BRO Driver, Book For 2025 Exam By Manish Choudhary, Mind Exam\xa0\xa0(Perfect, Hindi, Manish choudhary)']",['₹149'],['Manish choudhary'],"['""Driver Special"" Multi Colour Book is based on the latest syllabus of Delhi Police Driver, ITBP Driver, BRO Recruitment. This book contains complete syllabus for Driver Recruitment along with a total of 20 practice sets containing approximately 1000 + objective  & 1000 one liner questions. This book is the best among other driver books in every respect.\n\nITBP driver best book, Delhi police driver best book,  Delhi police driver book,  Delhi police driver book mind exam, Delhi police driver top book, Delhi police driver book 2025, ITBP driver book 2025, BRO Driver best book, bro driver book, Driver Special Book Mind Exam, Best book for driver exam']",['Publisher: Mind Exam'],['156 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['']
"['Gunahon Ka Devta\xa0\xa0(Hindi, Paperback, Bharti Dharamveer)']",['₹259'],['Bharti Dharamveer'],"['गुनाहों का देवता - \nधर्मवीर भारती के इस उपन्यास का प्रकाशन और इसके प्रति पाठकों का अटूट सम्मोहन हिन्दी साहित्य-जगत् की एक बड़ी उपलब्धि बन गये हैं। दरअसल, यह उपन्यास हमारे समय में भारतीय भाषाओं की सबसे अधिक बिकनेवाली लोकप्रिय साहित्यिक पुस्तकों में पहली पंक्ति में है। लाखों-लाख पाठकों के लिए प्रिय इस अनूठे उपन्यास की माँग आज भी वैसी ही बनी हुई है जैसी कि इसके प्रकाशन के प्रारम्भिक वर्षों में थी।—और इस सबका बड़ा कारण शायद एक समर्थ रचनाकार की कोई अव्यक्त पीड़ा और एकान्त आस्था है, जिसने इस उपन्यास को एक अद्वितीय कृति बना दिया है']",['Publisher: Vani Prakashan'],['Pages: 264'],"['Edition: 83th, 2024']",['Genre: Novel'],['Language: Hindi'],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.6']
"['Osho Bestsellers In Hindi|- Jeevan Jine Ki Kala + Dhyan Sutra (Set of 2 Books)\xa0\xa0(Paperback, Osho)']",['₹194'],['Osho'],[''],['Publisher: Diamond Books'],['Pages: 332'],"['Edition: 1st, 2022']",['Genre: Religion & Spirituality'],[None],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.5']
"['The Personal MBA:10th Anniversary Edition A World-Class Business Education In A Single Volume Paperback – 25 September 2020\nby Josh Kaufman (Author)\xa0\xa0(Paperback, Josh Kaufman)']",['₹170'],['Josh Kaufman'],[''],['Publisher: Generic'],['496 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.2']
"['Gunahon Ka Devta ( Hindi )\xa0\xa0(Paperback, Hindi, DHARMVEER BHARATI)']",['₹230'],['DHARMVEER BHARATI'],['BESTSELLER HINDI NOVEL'],['Publisher: BHARATIYA JNANPITH'],['184 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.6']
"['CAT Exam 2025 book combo by Arun Sharma (Set of 4 books) - Quantitative Aptitude + Verbal Ability and Reading Comprehension + Logical Reasoning + Data Interpretation| Latest editions\xa0\xa0(Paperback, Arun Sharma, Meenakshi Upadhyay)']","['₹2,295']","['Arun Sharma, Meenakshi Upadhyay']",[''],['Publisher: McGraw Hill'],['Pages: 2968'],['Edition: 2024'],[None],[None],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.2']
"['Pw Cbse Class 10 Competency Based Question Bank for Board Exam l Science, Mathematics, Social Science\xa0\xa0(English, Paperback, unknown)']",['₹385'],['unknown'],[''],['Publisher: Physics Wallah Private Limited'],['Pages: 552'],"['Edition: 2024, 2024']",['Genre: Juvenile Nonfiction'],['Language: English'],['Binding: Paperback'],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.2']
"['Ace English A Compelete Guide On English Language For Banking & Insurance Examinations\xa0\xa0(Paperback, Adda247 Publications)']",['₹299'],['Adda247 Publications'],[''],['Publisher: Adda247 Publications'],['462 Pages'],[None],[None],['Language: English'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
"['Samanya Gyan | Pocket GK\xa0\xa0(Paperback, Hindi, khan sir)']",['₹252'],['khan sir'],['GK SAMNYAN GYAN BY KHAN SIR'],['Publisher: rbd publicaitons jaipur'],['540 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
"['Bhagavad Gita As It Is Telugu Original Edition\xa0\xa0(Hardcover, Telugu, HIS DIVINE GRACE A.C.BHAKTIVEDANTA SWAMY PRABHUPADA)']",['₹420'],['HIS DIVINE GRACE A.C.BHAKTIVEDANTA SWAMY PRABHUPADA'],[''],['Publisher: BHAKTIVEDANTA BOOK TRUST'],['885 Pages'],[None],[None],['Language: Telugu'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.7']
"['Hindi: Objective History Of Language & Literature\xa0\xa0(Paperback, Hindi, Saraswati Pandey Govind Pandey)']",['₹248'],['Saraswati Pandey Govind Pandey'],['Use ful For All Competitive Exams'],['Publisher: Abhivyakti Prakshan'],['460 Pages'],[None],[None],['Language: Hindi'],[None],['7 Days Replacement Policy?'],['Cash on Delivery available?'],['4.4']
